Date,Time,Serial,Result,C1,C2,C3,C4,C5,C6,C7
18-02-2026,02:54:03,SN-4337,NG,0.417,0.762,1.104,1.027,0.322,1.109,0.897
18-02-2026,02:54:04,SN-4053,NG,0.254,0.108,0.719,0.569,0.405,0.168,0.856
18-02-2026,02:54:08,SN-7174,NG,0.664,0.732,0.909,0.263,0.821,0.563,0.608
18-02-2026,02:54:09,SN-3668,NG,0.816,0.985,0.239,1.123,0.215,0.727,0.959
18-02-2026,02:54:15,SN-6440,NG,0.343,1.061,0.998,0.939,0.894,0.989,0.967
18-02-2026,02:54:16,SN-2404,NG,0.485,0.987,0.516,0.369,1.164,1.132,0.89
18-02-2026,02:54:26,SN-4429,NG,0.957,0.622,0.891,0.647,0.348,0.201,0.635
18-02-2026,02:54:29,SN-1727,NG,0.623,0.106,0.256,0.159,1.075,0.356,0.621
18-02-2026,02:54:47,SN-9097,NG,1.158,0.698,0.228,0.372,0.208,0.345,0.823
18-02-2026,02:54:50,SN-9268,NG,0.795,0.923,0.667,0.702,0.466,0.308,0.398
18-02-2026,02:54:51,SN-6154,NG,0.49,1.193,1.136,0.978,0.46,0.539,0.98
18-02-2026,02:54:53,SN-6403,NG,1.127,0.554,0.419,0.293,0.69,0.229,0.494
18-02-2026,02:54:58,SN-3845,NG,0.687,0.95,0.922,0.9,0.905,0.566,0.758
18-02-2026,02:54:59,SN-7806,NG,1.087,0.172,0.251,0.22,0.827,0.963,0.291
18-02-2026,02:55:09,SN-1283,NG,0.929,0.694,1.027,0.397,0.355,0.878,0.644
18-02-2026,02:55:11,SN-9626,OK,0.339,0.332,0.552,0.281,0.474,0.327,0.695
18-02-2026,02:55:14,SN-2941,NG,0.877,0.996,0.522,0.783,0.417,0.421,0.507
18-02-2026,02:55:14,SN-2574,OK,0.319,0.201,0.717,0.565,0.48,0.63,0.134
18-02-2026,02:55:22,SN-3687,NG,0.491,1.013,0.235,0.819,0.225,0.841,0.391
18-02-2026,02:55:35,SN-1120,NG,1.089,1.099,0.282,0.198,0.949,0.108,0.642
18-02-2026,02:55:38,SN-4431,NG,0.923,0.674,1.158,0.312,0.791,1.053,0.557
18-02-2026,02:55:48,SN-2568,NG,0.142,0.916,0.713,1.1,0.935,0.153,0.152
18-02-2026,02:55:54,SN-7457,NG,0.44,0.174,0.101,0.763,1.007,0.86,0.355
18-02-2026,02:55:58,SN-9289,NG,0.414,0.366,0.135,0.842,0.371,0.914,0.784
18-02-2026,02:55:59,SN-3153,NG,0.626,0.732,0.933,0.762,0.574,1.192,0.75
18-02-2026,02:56:06,SN-9521,NG,0.914,0.615,0.747,0.845,0.653,0.995,1.016
18-02-2026,02:56:08,SN-1344,NG,1.004,1.038,1.137,0.635,0.838,0.946,0.447
18-02-2026,02:56:12,SN-8997,NG,0.833,1.058,0.348,0.484,1.087,1.015,1.083
18-02-2026,02:56:12,SN-9219,NG,0.18,0.734,0.183,0.739,0.729,1.108,0.406
18-02-2026,02:56:14,SN-3467,NG,1.1,0.412,0.677,0.563,0.544,1.136,0.684
18-02-2026,02:56:30,SN-3384,NG,0.825,0.833,0.702,0.562,0.696,1.013,0.129
18-02-2026,02:56:31,SN-9826,NG,1.13,0.182,0.762,0.519,0.424,0.851,0.161
18-02-2026,02:56:32,SN-3554,NG,0.544,0.807,1.087,0.154,0.148,0.556,0.316
